Genes	Tools				
ANKRD26	MAGMA MSC Nearest PoPS SMR TWAS				
BPTF	MAGMA MSC Nearest PoPS SMR TWAS				
YWHAZ	DEPICT MAGMA Nearest PoPS SMR TWAS				
KAT8	DEPICT MAGMA MSC Nearest SMR TWAS				
GGNBP2	DEPICT MAGMA MSC Nearest SMR TWAS				
ZNF131	DEPICT MAGMA MSC Nearest PoPS SMR				
TFAP2B	FINEMAP MAGMA MSC Nearest PoPS				
CACNA1C	FINEMAP MAGMA MSC Nearest PoPS				
KCNQ5	DEPICT FINEMAP MAGMA MSC Nearest				
MTOR	MAGMA Nearest PoPS SMR TWAS				
ANAPC4	MAGMA MSC Nearest SMR TWAS				
PDXDC1	MAGMA MSC Nearest SMR TWAS				
SLC41A1	MAGMA MSC Nearest SMR TWAS				
RANBP17	MAGMA MSC Nearest SMR TWAS				
HEY2	MAGMA MSC Nearest SMR TWAS				
CCDC171	MAGMA MSC Nearest SMR TWAS				
LUZP1	DEPICT MAGMA MSC SMR TWAS				
ERC2	MAGMA MSC Nearest PoPS TWAS				
NPC1	MAGMA MSC Nearest PoPS TWAS				
PPP1CB	DEPICT MAGMA Nearest PoPS TWAS				
MAP3K3	DEPICT MAGMA MSC Nearest TWAS				
TNRC6B	DEPICT MAGMA MSC Nearest TWAS				
S100PBP	DEPICT MAGMA MSC Nearest TWAS				
UBXN7	DEPICT MAGMA MSC Nearest SMR				
DPY19L1	DEPICT MAGMA MSC Nearest SMR				
RSRC1	DEPICT MAGMA MSC Nearest PoPS				
NRXN1	DEPICT MAGMA MSC Nearest PoPS				
RERE	DEPICT MAGMA MSC Nearest PoPS				
AKAP6	DEPICT MAGMA MSC Nearest PoPS				
NCOR1	DEPICT MAGMA MSC Nearest PoPS				
POU2F1	DEPICT MAGMA MSC Nearest PoPS				
ANKS1B	DEPICT MAGMA MSC Nearest PoPS				
ARNTL	DEPICT MAGMA MSC Nearest PoPS				
MED23	DEPICT MAGMA MSC Nearest PoPS				
DGKI	DEPICT MAGMA MSC Nearest PoPS				
